Year,HadCRUT5 (degC),HadCRUT5 uncertainty
1850,-0.08,0.173
1851,0.08,0.174
1852,0.12,0.165
1853,0.08,0.159
1854,0.05,0.138
1855,0.05,0.135
1856,0.02,0.144
1857,-0.12,0.152
1858,-0.05,0.151
1859,0.05,0.142
1860,-0.06,0.151
1861,-0.12,0.171
1862,-0.21,0.169
1863,-0.04,0.195
1864,-0.15,0.187
1865,-0.05,0.199
1866,-0.05,0.196
1867,-0.05,0.202
1868,-0.02,0.183
1869,0.03,0.162
1870,0.02,0.147
1871,-0.03,0.150
1872,0.04,0.136
1873,0.02,0.130
1874,-0.02,0.132
1875,-0.02,0.137
1876,-0.07,0.139
1877,0.26,0.128
1878,0.36,0.123
1879,0.06,0.132
1880,0.04,0.123
1881,0.13,0.125
1882,0.07,0.125
1883,0.02,0.112
1884,-0.13,0.109
1885,-0.11,0.109
1886,-0.06,0.105
1887,-0.14,0.115
1888,-0.03,0.117
1889,0.09,0.124
1890,-0.15,0.125
1891,-0.05,0.137
1892,-0.16,0.138
1893,-0.15,0.135
1894,-0.13,0.143
1895,-0.10,0.139
1896,0.07,0.132
1897,0.09,0.138
1898,-0.13,0.135
1899,0.00,0.130
1900,0.12,0.134
1901,0.06,0.132
1902,-0.09,0.132
1903,-0.19,0.123
1904,-0.25,0.127
1905,-0.06,0.119
1906,0.03,0.121
1907,-0.15,0.118
1908,-0.16,0.118
1909,-0.19,0.111
1910,-0.18,0.113
1911,-0.19,0.110
1912,-0.13,0.101
1913,-0.12,0.109
1914,0.09,0.108
1915,0.15,0.118
1916,-0.07,0.120
1917,-0.20,0.129
1918,-0.08,0.139
1919,0.01,0.137
1920,0.04,0.130
1921,0.10,0.117
1922,0.01,0.108
1923,0.03,0.106
1924,0.04,0.106
1925,0.07,0.108
1926,0.22,0.109
1927,0.12,0.103
1928,0.14,0.109
1929,-0.05,0.108
1930,0.18,0.107
1931,0.24,0.106
1932,0.20,0.099
1933,0.02,0.095
1934,0.17,0.095
1935,0.13,0.092
1936,0.17,0.095
1937,0.33,0.094
1938,0.33,0.094
1939,0.30,0.095
1940,0.42,0.118
1941,0.38,0.206
1942,0.34,0.209
1943,0.35,0.203
1944,0.49,0.205
1945,0.39,0.201
1946,0.22,0.142
1947,0.25,0.135
1948,0.22,0.125
1949,0.19,0.114
1950,0.11,0.102
1951,0.27,0.092
1952,0.36,0.100
1953,0.42,0.099
1954,0.23,0.089
1955,0.15,0.090
1956,0.08,0.077
1957,0.31,0.067
1958,0.33,0.064
1959,0.30,0.066
1960,0.23,0.055
1961,0.33,0.050
1962,0.29,0.054
1963,0.31,0.053
1964,0.04,0.047
1965,0.14,0.052
1966,0.20,0.050
1967,0.23,0.045
1968,0.18,0.046
1969,0.32,0.040
1970,0.26,0.038
1971,0.14,0.038
1972,0.26,0.037
1973,0.40,0.038
1974,0.18,0.038
1975,0.24,0.038
1976,0.13,0.041
1977,0.45,0.042
1978,0.35,0.040
1979,0.43,0.029
1980,0.54,0.033
1981,0.59,0.031
1982,0.38,0.040
1983,0.57,0.036
1984,0.39,0.034
1985,0.39,0.033
1986,0.44,0.032
1987,0.58,0.031
1988,0.62,0.035
1989,0.52,0.035
1990,0.70,0.035
1991,0.68,0.036
1992,0.47,0.034
1993,0.51,0.038
1994,0.57,0.036
1995,0.72,0.033
1996,0.62,0.032
1997,0.76,0.032
1998,0.92,0.033
1999,0.66,0.033
2000,0.67,0.033
2001,0.83,0.034
2002,0.88,0.030
2003,0.88,0.033
2004,0.81,0.030
2005,0.95,0.031
2006,0.91,0.031
2007,0.93,0.032
2008,0.80,0.032
2009,0.94,0.031
2010,1.02,0.031
2011,0.88,0.031
2012,0.92,0.032
2013,0.96,0.035
2014,1.01,0.032
2015,1.16,0.034
2016,1.27,0.031
2017,1.18,0.032
2018,1.10,0.031
2019,1.23,0.033
2020,1.26,0.034
2021,1.11,0.035
2022,1.15,0.037
2023,1.46,0.037
2024,1.51,0.039
2025,1.40,0.039
2026,1.34,0.254
